run	name	replicates	sample	day
170802_NB501809_0150_AH7NMJBGX3	M11_EXP0_1_S28	1	M11	0
171013_NB501809_0191_AHN7GCBGX3	M11_EXP0_2_S4	2	M11	0
170802_NB501809_0150_AH7NMJBGX3	M11_EXP3_1_S29	1	M11	3
171013_NB501809_0191_AHN7GCBGX3	M11_EXP3_2_S5	2	M11	3
170802_NB501809_0150_AH7NMJBGX3	M11_EXP7_1_S30	1	M11	7
171013_NB501809_0191_AHN7GCBGX3	M11_EXP7_2_S6	2	M11	7
170802_NB501809_0150_AH7NMJBGX3	M12_EXP0_1_S31	1	M12	0
171013_NB501809_0191_AHN7GCBGX3	M12_EXP0_2_S7	2	M12	0
170802_NB501809_0150_AH7NMJBGX3	M12_EXP3_1_S32	1	M12	3
171013_NB501809_0191_AHN7GCBGX3	M12_EXP3_2_S8	2	M12	3
170802_NB501809_0150_AH7NMJBGX3	M12_EXP7_1_S33	1	M12	7
171013_NB501809_0191_AHN7GCBGX3	M12_EXP7_2_S9	2	M12	7
170802_NB501809_0150_AH7NMJBGX3	M13_EXP0_1_S34	1	M13	0
171013_NB501809_0191_AHN7GCBGX3	M13_EXP0_2_S10	2	M13	0
170802_NB501809_0150_AH7NMJBGX3	M13_EXP3_1_S35	1	M13	3
171013_NB501809_0191_AHN7GCBGX3	M13_EXP3_2_S11	2	M13	3
170802_NB501809_0150_AH7NMJBGX3	M13_EXP7_1_S36	1	M13	7
171013_NB501809_0191_AHN7GCBGX3	M13_EXP7_2_S12	2	M13	7
170906_NB501809_0168_AH7NMHBGX3	M14_EXP0_1_S1	1	M14	0
171013_NB501809_0191_AHN7GCBGX3	M14_EXP0_2_S13	2	M14	0
170906_NB501809_0168_AH7NMHBGX3	M14_EXP3_1_S2	1	M14	3
171013_NB501809_0191_AHN7GCBGX3	M14_EXP3_2_S14	2	M14	3
170906_NB501809_0168_AH7NMHBGX3	M14_EXP7_1_S3	1	M14	7
171013_NB501809_0191_AHN7GCBGX3	M14_EXP7_2_S15	2	M14	7
170906_NB501809_0168_AH7NMHBGX3	M15_EXP0_1_S4	1	M15	0
